,EnumGrammar.INT,EnumGrammar.RBRACE,$,EnumGrammar.IDENTIFIER,EnumGrammar.VARIABLE,EnumGrammar.SUMEXPR,EnumGrammar.FORSTMT,EnumGrammar.CONDITION,EnumGrammar.PARTEXPR,EnumGrammar.FOR,EnumGrammar.STATEMENTNO,EnumGrammar.IFSTMT,EnumGrammar.IF,EnumGrammar.DO,EnumGrammar.FLOAT,EnumGrammar.INTEGER,EnumGrammar.EXPRESSION,EnumGrammar.VARIABLELIST,EnumGrammar.MULEXPR,EnumGrammar.REPEAT,EnumGrammar.STATEMENTLIST,EnumGrammar.RETURN,EnumGrammar.BOOLEXPR,EnumGrammar.COMPUTEEXPR,EnumGrammar.TYPE,EnumGrammar.BREAK,EnumGrammar.EXPRESSIONLIST,EnumGrammar.LPAR,EnumGrammar.INCEXPR,EnumGrammar.DOUBLE,EnumGrammar.PROGRAM,EnumGrammar.STATEMENT,EnumGrammar.COMMENT,EnumGrammar.COMPAREEXPR,EnumGrammar.GT,EnumGrammar.SEMI,EnumGrammar.EQ,EnumGrammar.COMMA,EnumGrammar.LE,EnumGrammar.NE,EnumGrammar.STAR,EnumGrammar.SLASH,EnumGrammar.INC,EnumGrammar.GE,EnumGrammar.ELIF,EnumGrammar.ELSE,EnumGrammar.LT,EnumGrammar.OR,EnumGrammar.MINUS,EnumGrammar.PLUS,EnumGrammar.AND,EnumGrammar.DEC,EnumGrammar.LSQB,EnumGrammar.EQEQ,EnumGrammar.RPAR,EnumGrammar.LBRACE,EnumGrammar.LABEL,EnumGrammar.COMPAREOP,EnumGrammar.INCOP,EnumGrammar.SUMOP,EnumGrammar.MULOP,EnumGrammar.FUNCTION,EnumGrammar.ASSIGN,EnumGrammar.FUN,EnumGrammar.INDEX,EnumGrammar.RSQB,EnumGrammar.BLOCK,EnumGrammar.UNTIL,EnumGrammar.WHILE,EnumGrammar.GOTOLABEL,EnumGrammar.ELIFSTMT
0,s11,r13,r13,r6,s2,s26,s7,s24,s25,s17,s5,s6,s15,s30,s13,s10,s8,s3,s27,s16,s20,s19,s29,s22,s9,s18,s21,s31,s28,s12,s1,s4,s32,s23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,acc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,r42,r42,r42,r42,,,,,,r42,,,r42,r42,r42,r42,,,,r42,,r42,,,,r42,,s34,,r42,,,r42,,r42,r42,s33,s36,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,s35,r42,r42,,,,,,,,,,,,,,,,
3,r16,r16,r16,r16,,,,,,r16,,,r16,r16,r16,r16,,,,r16,,r16,,,,r16,,r16,,r16,,,r16,,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,,,,,,,,,,,,,,,,,
4,r74,r74,r74,r74,,,,,,r74,,,r74,r74,r74,r74,,,,r74,,r74,,,,r74,,r74,,r74,,,r74,,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,s37,,,,,,,,,,,,,,
5,r14,r14,r14,r14,,,,,,r14,,,r14,r14,r14,r14,,,,r14,,r14,,,,r14,,r14,,r14,,,r14,,r14,s38,r14,r14,r14,r14,r14,r14,r14,r14,r14,r14,r14,r14,r14,r14,r14,r14,r14,r14,,,,,,,,,,,,,,,,,
6,r19,r19,r19,r19,,,,,,r19,,,r19,r19,r19,r19,,,,r19,,r19,,,,r19,,r19,,r19,,,r19,,r19,r19,r19,r19,r19,r19,r19,r19,r19,r19,r19,r19,r19,r19,r19,r19,r19,r19,r19,r19,,,,,,,,,,,,,,,,,
7,r20,r20,r20,r20,,,,,,r20,,,r20,r20,r20,r20,,,,r20,,r20,,,,r20,,r20,,r20,,,r20,,r20,r20,r20,r20,r20,r20,r20,r20,r20,r20,r20,r20,r20,r20,r20,r20,r20,r20,r20,r20,,,,,,,,,,,,,,,,,
8,r37,r37,r37,r37,,,,,,r37,,,r37,r37,r37,r37,,,,r37,,r37,,,,r37,,r37,,r37,,,r37,,r37,r37,r37,s39,r37,r37,r37,r37,r37,r37,r37,r37,r37,r37,r37,r37,r37,r37,r37,r37,r37,,,,,,,,,,,,,,,,
9,,,,s40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,r4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,r43,r43,r43,r43,,,,,,r43,,,r43,r43,r43,r43,,,,r43,,r43,,,,r43,,r43,,r43,,,r43,,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,,,,,,,,,,,,,,,,
12,,,,r5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,r44,r44,r44,r44,,,,,,r44,,,r44,r44,r44,r44,,,,r44,,r44,,,,r44,,r44,,r44,,,r44,,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,,,,,,,,,,,,,,,,
14,r45,r45,r45,r45,,,,,,r45,,,r45,r45,r45,r45,,,,r45,,r45,,,,r45,,r45,,r45,,,r45,,r45,r45,r45,r45,r45,r45,r45,r45,r45,r45,r45,r45,r45,r45,r45,r45,r45,r45,r45,r45,r45,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,s41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s42,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,s43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,r24,r24,r24,r24,,,,,,r24,,,r24,r24,r24,r24,,,,r24,,r24,,,,r24,,r24,,r24,,,r24,,r24,r24,r24,r24,r24,r24,r24,r24,r24,r24,r24,r24,r24,r24,r24,r24,r24,r24,r24,r24,,,,,,,,,,,,,,,,,
19,s11,,,r6,s44,s26,,s24,s25,,,,,,s13,s10,s45,,s27,,,,s29,s22,s9,,,s31,s28,s12,,,,s23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,r1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,r18,r18,r18,r18,,,,,,r18,,,r18,r18,r18,r18,,,,r18,,r18,,,,r18,,r18,,r18,,,r18,,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,,,,,,,,,,,,,,,,,
22,r39,r39,r39,r39,,,,,,r39,,,r39,r39,r39,r39,,,,r39,,r39,,,,r39,,r39,,r39,,,r39,,s48,r39,r39,r39,s49,s52,r39,r39,r39,s50,r39,r39,s47,r39,r39,r39,r39,r39,r39,s51,r39,,,s46,,,,,,,,,,,,,
23,r72,r72,r72,r72,,,,,,r72,,,r72,r72,r72,r72,,,,r72,,r72,,,,r72,,r72,,r72,,,r72,,r72,r72,r72,r72,r72,r72,r72,r72,r72,r72,r72,r72,r72,s54,r72,r72,s53,r72,r72,r72,r72,,,,,,,,,,,,,,,,
24,r41,r41,r41,r41,,,,,,r41,,,r41,r41,r41,r41,,,,r41,,r41,,,,r41,,r41,,r41,,,r41,,r41,r41,r41,r41,r41,r41,r41,r41,r41,r41,r41,r41,r41,r41,r41,r41,r41,r41,r41,r41,r41,,,,,,,,,,,,,,,,
25,r58,r58,r58,r58,,,,,,r58,,,r58,r58,r58,r58,,,,r58,,r58,,,,r58,,r58,,r58,,,r58,,r58,r58,s56,r58,r58,r58,r58,r58,s57,r58,r58,r58,r58,r58,r58,r58,r58,s58,r58,r58,r58,,,,s55,,,,,,,,,,,,
26,r49,r49,r49,r49,,,,,,r49,,,r49,r49,r49,r49,,,,r49,,r49,,,,r49,,r49,,r49,,,r49,,r49,r49,r49,r49,r49,r49,r49,r49,r49,r49,r49,r49,r49,r49,s61,s60,r49,r49,r49,r49,r49,,,,,s59,,,,,,,,,,,
27,r54,r54,r54,r54,,,,,,r54,,,r54,r54,r54,r54,,,,r54,,r54,,,,r54,,r54,,r54,,,r54,,r54,r54,r54,r54,r54,r54,s63,s64,r54,r54,r54,r54,r54,r54,r54,r54,r54,r54,r54,r54,r54,,,,,,s62,,,,,,,,,,
28,r50,r50,r50,r50,,,,,,r50,,,r50,r50,r50,r50,,,,r50,,r50,,,,r50,,r50,,r50,,,r50,,r50,r50,r50,r50,r50,r50,r50,r50,r50,r50,r50,r50,r50,r50,r50,r50,r50,r50,r50,r50,r50,,,,,,,,,,,,,,,,
29,r73,r73,r73,r73,,,,,,r73,,,r73,r73,r73,r73,,,,r73,,r73,,,,r73,,r73,,r73,,,r73,,r73,r73,r73,r73,r73,r73,r73,r73,r73,r73,r73,r73,r73,r73,r73,r73,r73,r73,r73,r73,r73,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s65,,,,,,,,,,,,,,,
31,s11,,,r6,s44,s26,,s24,s25,,,,,,s13,s10,s66,,s27,,,,s29,s22,s9,,,s31,s28,s12,,,,s23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,r25,r25,r25,r25,,,,,,r25,,,r25,r25,r25,r25,,,,r25,,r25,,,,r25,,r25,,r25,,,r25,,r25,r25,r25,r25,r25,r25,r25,r25,r25,r25,r25,r25,r25,r25,r25,r25,r25,r25,r25,r25,,,,,,,,,,,,,,,,,
33,s11,,,r6,s44,s26,,s24,s25,,,,,,s13,s10,s69,,s27,,,,s29,s22,s9,,,s31,s28,s12,,,,s23,,,,,,,,,,,,,,,,,,,,,,,,,,,,s68,s70,s67,,,,,,,
34,s11,,,r6,s44,s26,,s24,s25,,,,,,s13,s10,s8,,s27,,,,s29,s22,s9,,s71,s31,s28,s12,,,,s23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,s73,,,r6,s72,,,,,,,,,,,s10,,,,,,,,,s9,,,,,s12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s74,,,,,,
36,,,,r6,s75,,,,,,,,,,,s10,,s76,,,,,,,s9,,,,,s12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,s11,r13,r13,r6,s2,s26,s7,s24,s25,s17,s5,s6,s15,s30,s13,s10,s8,s3,s27,s16,s77,s19,s29,s22,s9,s18,s21,s31,s28,s12,,s4,s32,s23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,r15,r15,r15,r15,,,,,,r15,,,r15,r15,r15,r15,,,,r15,,r15,,,,r15,,r15,,r15,,,r15,,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,,,,,,,,,,,,,,,,,
39,s11,,,r6,s44,s26,,s24,s25,,,,,,s13,s10,s8,,s27,,,,s29,s22,s9,,s78,s31,s28,s12,,,,s23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,r7,r7,r7,r7,,,,,,r7,,,r7,r7,r7,r7,,,,r7,,r7,,,,r7,,r7,,r7,,,r7,,r7,r7,r7,r7,r7,r7,r7,r7,r7,r7,r7,r7,r7,r7,r7,r7,r7,r7,r7,r7,r7,,,,,,,,,,,r7,,,,,
41,s11,,,r6,s44,s26,,s80,s81,,,,,,s13,s10,,,s27,,,,s29,s79,s9,,,s31,s28,s12,,,,s23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,r74,r74,r74,r74,,,,,,r74,,,r74,r74,r74,r74,,,,r74,,r74,,,,r74,,r74,,r74,,,r74,,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,s82,,,,,,,,,,,,,,
43,s11,,,r6,s44,s26,,s24,s25,,,,,,s13,s10,s83,,s27,,,,s29,s22,s9,,,s31,s28,s12,,,,s23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,r42,r42,r42,r42,,,,,,r42,,,r42,r42,r42,r42,,,,r42,,r42,,,,r42,,s34,,r42,,,r42,,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,s35,r42,r42,,,,,,,,,,,,,,,,
45,r23,r23,r23,r23,,,,,,r23,,,r23,r23,r23,r23,,,,r23,,r23,,,,r23,,r23,,r23,,,r23,,r23,r23,r23,r23,r23,r23,r23,r23,r23,r23,r23,r23,r23,r23,r23,r23,r23,r23,r23,r23,,,,,,,,,,,,,,,,,
46,s11,,,r6,s44,s26,,,s81,,,,,,s13,s10,,,s27,,,,,s84,s9,,,s31,s28,s12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,r63,r63,r63,r63,,,,,,r63,,,r63,r63,r63,r63,,,,r63,,r63,,,,r63,,r63,,r63,,,r63,,r63,r63,r63,r63,r63,r63,r63,r63,r63,r63,r63,r63,r63,r63,r63,r63,r63,r63,r63,r63,r63,,,,,,,,,,,,,,,,
48,r64,r64,r64,r64,,,,,,r64,,,r64,r64,r64,r64,,,,r64,,r64,,,,r64,,r64,,r64,,,r64,,r64,r64,r64,r64,r64,r64,r64,r64,r64,r64,r64,r64,r64,r64,r64,r64,r64,r64,r64,r64,r64,,,,,,,,,,,,,,,,
49,r65,r65,r65,r65,,,,,,r65,,,r65,r65,r65,r65,,,,r65,,r65,,,,r65,,r65,,r65,,,r65,,r65,r65,r65,r65,r65,r65,r65,r65,r65,r65,r65,r65,r65,r65,r65,r65,r65,r65,r65,r65,r65,,,,,,,,,,,,,,,,
50,r66,r66,r66,r66,,,,,,r66,,,r66,r66,r66,r66,,,,r66,,r66,,,,r66,,r66,,r66,,,r66,,r66,r66,r66,r66,r66,r66,r66,r66,r66,r66,r66,r66,r66,r66,r66,r66,r66,r66,r66,r66,r66,,,,,,,,,,,,,,,,
51,r67,r67,r67,r67,,,,,,r67,,,r67,r67,r67,r67,,,,r67,,r67,,,,r67,,r67,,r67,,,r67,,r67,r67,r67,r67,r67,r67,r67,r67,r67,r67,r67,r67,r67,r67,r67,r67,r67,r67,r67,r67,r67,,,,,,,,,,,,,,,,
52,r68,r68,r68,r68,,,,,,r68,,,r68,r68,r68,r68,,,,r68,,r68,,,,r68,,r68,,r68,,,r68,,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,r68,,,,,,,,,,,,,,,,
53,r74,r74,r74,r74,,,,,,r74,,,r74,r74,r74,r74,,,,r74,,r74,,,,r74,,r74,,r74,,,r74,,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,s85,,,,,,,,,,,,,,
54,r74,r74,r74,r74,,,,,,r74,,,r74,r74,r74,r74,,,,r74,,r74,,,,r74,,r74,,r74,,,r74,,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,s86,,,,,,,,,,,,,,
55,r62,r62,r62,r62,,,,,,r62,,,r62,r62,r62,r62,,,,r62,,r62,,,,r62,,r62,,r62,,,r62,,r62,r62,r62,r62,r62,r62,r62,r62,r62,r62,r62,r62,r62,r62,r62,r62,r62,r62,r62,r62,r62,,,,,,,,,,,,,,,,
56,s11,,,r6,s44,,,,s87,,,,,,s13,s10,,,,,,,,,s9,,,s31,,s12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,r59,r59,r59,r59,,,,,,r59,,,r59,r59,r59,r59,,,,r59,,r59,,,,r59,,r59,,r59,,,r59,,r59,r59,r59,r59,r59,r59,r59,r59,r59,r59,r59,r59,r59,r59,r59,r59,r59,r59,r59,r59,r59,,,,,,,,,,,,,,,,
58,r60,r60,r60,r60,,,,,,r60,,,r60,r60,r60,r60,,,,r60,,r60,,,,r60,,r60,,r60,,,r60,,r60,r60,r60,r60,r60,r60,r60,r60,r60,r60,r60,r60,r60,r60,r60,r60,r60,r60,r60,r60,r60,,,,,,,,,,,,,,,,
59,s11,,,r6,s44,,,,s88,,,,,,s13,s10,,,s89,,,,,,s9,,,s31,,s12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,r51,r51,r51,r51,,,,,,r51,,,r51,r51,r51,r51,,,,r51,,r51,,,,r51,,r51,,r51,,,r51,,r51,r51,r51,r51,r51,r51,r51,r51,r51,r51,r51,r51,r51,r51,r51,r51,r51,r51,r51,r51,r51,,,,,,,,,,,,,,,,
61,r52,r52,r52,r52,,,,,,r52,,,r52,r52,r52,r52,,,,r52,,r52,,,,r52,,r52,,r52,,,r52,,r52,r52,r52,r52,r52,r52,r52,r52,r52,r52,r52,r52,r52,r52,r52,r52,r52,r52,r52,r52,r52,,,,,,,,,,,,,,,,
62,s11,,,r6,s44,,,,s90,,,,,,s13,s10,,,,,,,,,s9,,,s31,,s12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,r55,r55,r55,r55,,,,,,r55,,,r55,r55,r55,r55,,,,r55,,r55,,,,r55,,r55,,r55,,,r55,,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,r55,,,,,,,,,,,,,,,,
64,r56,r56,r56,r56,,,,,,r56,,,r56,r56,r56,r56,,,,r56,,r56,,,,r56,,r56,,r56,,,r56,,r56,r56,r56,r56,r56,r56,r56,r56,r56,r56,r56,r56,r56,r56,r56,r56,r56,r56,r56,r56,r56,,,,,,,,,,,,,,,,
65,r74,r74,r74,r74,,,,,,r74,,,r74,r74,r74,r74,,,,r74,,r74,,,,r74,,r74,,r74,,,r74,,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,s91,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s92,,,,,,,,,,,,,,,,
67,r27,r27,r27,r27,,,,,,r27,,,r27,r27,r27,r27,,,,r27,,r27,,,,r27,,r27,,r27,,,r27,,r27,r27,r27,r27,r27,r27,r27,r27,r27,r27,r27,r27,r27,r27,r27,r27,r27,r27,r27,r27,,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,,,,,,,,,,,,,s93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
