,EnumGrammar.INT,EnumGrammar.RBRACE,$,EnumGrammar.IDENTIFIER,EnumGrammar.VARIABLE,EnumGrammar.SUMEXPR,EnumGrammar.FORSTMT,EnumGrammar.CONDITION,EnumGrammar.PARTEXPR,EnumGrammar.FOR,EnumGrammar.STATEMENTNO,EnumGrammar.IFSTMT,EnumGrammar.IF,EnumGrammar.DO,EnumGrammar.FLOAT,EnumGrammar.INTEGER,EnumGrammar.EXPRESSION,EnumGrammar.VARIABLELIST,EnumGrammar.MULEXPR,EnumGrammar.REPEAT,EnumGrammar.STATEMENTLIST,EnumGrammar.RETURN,EnumGrammar.BOOLEXPR,EnumGrammar.COMPUTEEXPR,EnumGrammar.TYPE,EnumGrammar.BREAK,EnumGrammar.EXPRESSIONLIST,EnumGrammar.LPAR,EnumGrammar.INCEXPR,EnumGrammar.DOUBLE,EnumGrammar.PROGRAM,EnumGrammar.STATEMENT,EnumGrammar.COMMENT,EnumGrammar.COMPAREEXPR,EnumGrammar.GT,EnumGrammar.SEMI,EnumGrammar.EQ,EnumGrammar.COMMA,EnumGrammar.LE,EnumGrammar.NE,EnumGrammar.STAR,EnumGrammar.SLASH,EnumGrammar.INC,EnumGrammar.GE,EnumGrammar.ELIF,EnumGrammar.ELSE,EnumGrammar.LT,EnumGrammar.OR,EnumGrammar.MINUS,EnumGrammar.PLUS,EnumGrammar.AND,EnumGrammar.DEC,EnumGrammar.LSQB,EnumGrammar.EQEQ,EnumGrammar.RPAR,EnumGrammar.LBRACE,EnumGrammar.LABEL,EnumGrammar.COMPAREOP,EnumGrammar.INCOP,EnumGrammar.SUMOP,EnumGrammar.MULOP,EnumGrammar.FUNCTION,EnumGrammar.ASSIGN,EnumGrammar.FUN,EnumGrammar.INDEX,EnumGrammar.RSQB,EnumGrammar.BLOCK,EnumGrammar.UNTIL,EnumGrammar.WHILE,EnumGrammar.GOTOLABEL,EnumGrammar.ELIFSTMT
69,r26,r26,r26,r26,,,,,,r26,,,r26,r26,r26,r26,,,,r26,,r26,,,,r26,,r26,,r26,,,r26,,r26,r26,r26,r26,r26,r26,r26,r26,r26,r26,r26,r26,r26,r26,r26,r26,r26,r26,r26,r26,,,,,,,,,,,,,,,,,
70,r17,r17,r17,r17,,,,,,r17,,,r17,r17,r17,r17,,,,r17,,r17,,,,r17,,r17,,r17,,,r17,,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s94,,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s35,,,,,,,,,,,,,r3,,,,,
73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r2,,,,,
74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s95,,,,,
75,r10,r10,r10,r10,,,,,,r10,,,r10,r10,r10,r10,,,,r10,,r10,,,,r10,,r10,,r10,,,r10,,r10,r10,r10,s36,r10,r10,r10,r10,r10,r10,r10,r10,r10,r10,r10,r10,r10,r10,s35,r10,,,,,,,,,,,,,,,,,
76,r11,r11,r11,r11,,,,,,r11,,,r11,r11,r11,r11,,,,r11,,r11,,,,r11,,r11,,r11,,,r11,,r11,r11,r11,r11,r11,r11,r11,r11,r11,r11,r11,r11,r11,r11,r11,r11,r11,r11,r11,r11,,,,,,,,,,,,,,,,,
77,,r12,r12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,r38,r38,r38,r38,,,,,,r38,,,r38,r38,r38,r38,,,,r38,,r38,,,,r38,,r38,,r38,,,r38,,r38,r38,r38,r38,r38,r38,r38,r38,r38,r38,r38,r38,r38,r38,r38,r38,r38,r38,r38,r38,r38,,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s48,,,,s49,s52,,,,s50,,,s47,,,,,,,s51,,,,s46,,,,,,,,,,,,,
80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s96,,,,,,,,,,,,,,,,
81,r58,r58,r58,r58,,,,,,r58,,,r58,r58,r58,r58,,,,r58,,r58,,,,r58,,r58,,r58,,,r58,,r58,r58,s56,r58,r58,r58,r58,r58,s57,r58,r58,r58,r58,r58,r58,r58,r58,s58,r58,r58,r58,,,,s55,,,,,,,,,,,,
82,s11,r13,r13,r6,s2,s26,s7,s24,s25,s17,s5,s6,s15,s30,s13,s10,s8,s3,s27,s16,s97,s19,s29,s22,s9,s18,s21,s31,s28,s12,,s4,s32,s23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,r69,r69,r69,r69,,,,,,r69,,,r69,r69,r69,r69,,,,r69,,r69,,,,r69,,r69,,r69,,,r69,,r69,r69,r69,r69,r69,r69,r69,r69,r69,r69,r69,r69,r69,r69,r69,r69,r69,r69,r69,r69,r69,,,,,,,,,,,,,,,,
85,s11,,,r6,s44,s26,,,s81,,,,,,s13,s10,,,s27,,,,,s79,s9,,,s31,s28,s12,,,,s99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,s11,,,r6,s44,s26,,,s81,,,,,,s13,s10,,,s27,,,,,s79,s9,,,s31,s28,s12,,,,s100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,r46,r46,r46,r46,,,,,,r46,,,r46,r46,r46,r46,,,,r46,,r46,,,,r46,,r46,,r46,,,r46,,r46,r46,s56,r46,r46,r46,r46,r46,r46,r46,r46,r46,r46,r46,r46,r46,r46,r46,r46,r46,r46,,,,,,,,,,,,,,,,
88,r58,r58,r58,r58,,,,,,r58,,,r58,r58,r58,r58,,,,r58,,r58,,,,r58,,r58,,r58,,,r58,,r58,r58,s56,r58,r58,r58,r58,r58,r58,r58,r58,r58,r58,r58,r58,r58,r58,r58,r58,r58,r58,,,,,,,,,,,,,,,,
89,r53,r53,r53,r53,,,,,,r53,,,r53,r53,r53,r53,,,,r53,,r53,,,,r53,,r53,,r53,,,r53,,r53,r53,r53,r53,r53,r53,s63,s64,r53,r53,r53,r53,r53,r53,r53,r53,r53,r53,r53,r53,r53,,,,,,s62,,,,,,,,,,
90,r57,r57,r57,r57,,,,,,r57,,,r57,r57,r57,r57,,,,r57,,r57,,,,r57,,r57,,r57,,,r57,,r57,r57,s56,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,,,,,,,,,,,,,,,,
91,s11,r13,r13,r6,s2,s26,s7,s24,s25,s17,s5,s6,s15,s30,s13,s10,s8,s3,s27,s16,s101,s19,s29,s22,s9,s18,s21,s31,s28,s12,,s4,s32,s23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,r47,r47,r47,r47,,,,,,r47,,,r47,r47,r47,r47,,,,r47,,r47,,,,r47,,r47,,r47,,,r47,,r47,r47,r47,r47,r47,r47,r47,r47,r47,r47,r47,r47,r47,r47,r47,r47,r47,r47,r47,r47,r47,,,,,,,,,,,,,,,,
93,s11,,,r6,s44,s26,,s24,s25,,,,,,s13,s10,s8,,s27,,,,s29,s22,s9,,s102,s31,s28,s12,,,,s23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,r48,r48,r48,r48,,,,,,r48,,,r48,r48,r48,r48,,,,r48,,r48,,,,r48,,r48,,r48,,,r48,,r48,r48,r48,r48,r48,r48,r48,r48,r48,r48,r48,r48,r48,r48,r48,r48,r48,r48,r48,r48,r48,,,,,,,,,,,,,,,,
95,r8,r8,r8,r8,,,,,,r8,,,r8,r8,r8,r8,,,,r8,,r8,,,,r8,,r8,,r8,,,r8,,r8,r8,r8,r8,r8,r8,r8,r8,r8,r8,r8,r8,r8,r8,r8,r8,r8,r8,s103,r8,r8,,,,,,,,,,,r8,,,,,
96,r74,r74,r74,r74,,,,,,r74,,,r74,r74,r74,r74,,,,r74,,r74,,,,r74,,r74,,r74,,,r74,,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,s104,,,,,,,,,,,,,,
97,,s105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,r74,r74,r74,r74,,,,,,r74,,,r74,r74,r74,r74,,,,r74,,r74,,,,r74,,r74,,r74,,,r74,,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,s106,,,,,,,,,,,,,,
99,r70,r70,r70,r70,,,,,,r70,,,r70,r70,r70,r70,,,,r70,,r70,,,,r70,,r70,,r70,,,r70,,r70,r70,r70,r70,r70,r70,r70,r70,r70,r70,r70,r70,r70,r70,r70,r70,r70,r70,r70,r70,r70,,,,,,,,,,,,,,,,
100,r71,r71,r71,r71,,,,,,r71,,,r71,r71,r71,r71,,,,r71,,r71,,,,r71,,r71,,r71,,,r71,,r71,r71,r71,r71,r71,r71,r71,r71,r71,r71,r71,r71,r71,r71,r71,r71,r71,r71,r71,r71,r71,,,,,,,,,,,,,,,,
101,,s107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s108,,,,,,,,,,,,,,,,
103,s73,,,r6,s72,,,,,,,,,,,s10,,,,,,,,,s9,,,,,s12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s109,,,,,,
104,s11,,,r6,s2,s26,s7,s24,s25,s17,s5,s6,s15,s30,s13,s10,s8,s3,s27,s16,,s19,s29,s22,s9,s18,s21,s31,s28,s12,,s110,s32,s23,,,,,,,,,,,,,,,,,,,,,,s112,,,,,,,,,,,s111,,,,
105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s113,,,
106,s11,,,r6,s44,s26,,s114,s81,,,,,,s13,s10,,,s27,,,,s29,s79,s9,,,s31,s28,s12,,,,s23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s115,,
108,r29,r29,r29,r29,,,,,,r29,,,r29,r29,r29,r29,,,,r29,,r29,,,,r29,,r29,,r29,,,r29,,r29,r29,r29,r29,r29,r29,r29,r29,r29,r29,r29,r29,r29,r29,r29,r29,r29,r29,r29,r29,,s116,,,,,,,,,,,,,,,
109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s117,,,,,
110,r35,r35,r35,r35,,,,,,r35,,,r35,r35,r35,r35,,,,r35,,r35,,,,r35,,r35,,r35,,,r35,,r35,r35,r35,r35,r35,r35,r35,r35,r35,r35,r35,r35,r35,r35,r35,r35,r35,r35,r35,r35,,,,,,,,,,,,,,,,,
111,r75,r75,r75,r75,,,,,,r75,,,r75,r75,r75,r75,,,,r75,,r75,,,,r75,,r75,,r75,,,r75,,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,,,,,,,,,,,,,,,s118,
112,s11,r13,r13,r6,s2,s26,s7,s24,s25,s17,s5,s6,s15,s30,s13,s10,s8,s3,s27,s16,s119,s19,s29,s22,s9,s18,s21,s31,s28,s12,,s4,s32,s23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,,,,,,,,,,,,,,,,,,,,,,,,,,,,s120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,,,,,,,,,,,,,,,,,,,,,,,,,,,,s122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,s11,r13,r13,r6,s2,s26,s7,s24,s25,s17,s5,s6,s15,s30,s13,s10,s8,s3,s27,s16,s123,s19,s29,s22,s9,s18,s21,s31,s28,s12,,s4,s32,s23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,r9,r9,r9,r9,,,,,,r9,,,r9,r9,r9,r9,,,,r9,,r9,,,,r9,,r9,,r9,,,r9,,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,,,,,,,,,,,r9,,,,,
118,r74,r74,r74,r74,,,,,,r74,,,r74,r74,r74,r74,,,,r74,,r74,,,,r74,,r74,,r74,,,r74,,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,s124,,,,,,,,,,,,,,
119,,s125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,r74,r74,r74,r74,,,,,,r74,,,r74,r74,r74,r74,,,,r74,,r74,,,,r74,,r74,,r74,,,r74,,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,s126,,,,,,,,,,,,,,
121,r74,r74,r74,r74,,,,,,r74,,,r74,r74,r74,r74,,,,r74,,r74,,,,r74,,r74,,r74,,,r74,,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,s127,,,,,,,,,,,,,,
122,r74,r74,r74,r74,,,,,,r74,,,r74,r74,r74,r74,,,,r74,,r74,,,,r74,,r74,,r74,,,r74,,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,s128,,,,,,,,,,,,,,
123,,s129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,r34,r34,r34,r34,,,,,,r34,,,r34,r34,r34,r34,,,,r34,,r34,,,,r34,,r34,,r34,,,r34,,r34,r34,r34,r34,r34,r34,r34,r34,r34,r34,s132,s131,r34,r34,r34,r34,r34,r34,r34,r34,,,,,,,,,,,,,,,,,s130
125,r36,r36,r36,r36,,,,,,r36,,,r36,r36,r36,r36,,,,r36,,r36,,,,r36,,r36,,r36,,,r36,,r36,r36,r36,r36,r36,r36,r36,r36,r36,r36,r36,r36,r36,r36,r36,r36,r36,r36,r36,r36,,,,,,,,,,,,,,,,,
126,s11,,,r6,s44,s26,,s133,s81,,,,,,s13,s10,,,s27,,,,s29,s79,s9,,,s31,s28,s12,,,,s23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,s11,,,r6,s44,s26,,s24,s25,,,,,,s13,s10,s134,,s27,,,,s29,s22,s9,,,s31,s28,s12,,,,s23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,s11,,,r6,s44,s26,,s135,s81,,,,,,s13,s10,,,s27,,,,s29,s79,s9,,,s31,s28,s12,,,,s23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,r28,r28,r28,r28,,,,,,r28,,,r28,r28,r28,r28,,,,r28,,r28,,,,r28,,r28,,r28,,,r28,,r28,r28,r28,r28,r28,r28,r28,r28,r28,r28,r28,r28,r28,r28,r28,r28,r28,r28,r28,r28,,,,,,,,,,,,,,,,,
130,r31,r31,r31,r31,,,,,,r31,,,r31,r31,r31,r31,,,,r31,,r31,,,,r31,,r31,,r31,,,r31,,r31,r31,r31,r31,r31,r31,r31,r31,r31,r31,r31,r31,r31,r31,r31,r31,r31,r31,r31,r31,,,,,,,,,,,,,,,,,
131,s11,,,r6,s2,s26,s7,s24,s25,s17,s5,s6,s15,s30,s13,s10,s8,s3,s27,s16,,s19,s29,s22,s9,s18,s21,s31,s28,s12,,s110,s32,s23,,,,,,,,,,,,,,,,,,,,,,s112,,,,,,,,,,,s136,,,,
132,,,,,,,,,,,,,,,,,,,,,,,,,,,,s137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s138,,,,,,,,,,,,,,,,
134,r75,r75,r75,r75,,,,,,r75,,,r75,r75,r75,r75,,,,r75,,r75,,,,r75,,r75,,r75,,,r75,,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,,,,,,,,,,,,,,,s139,
135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s140,,,,,,,,,,,,,,,,
136,r33,r33,r33,r33,,,,,,r33,,,r33,r33,r33,r33,,,,r33,,r33,,,,r33,,r33,,r33,,,r33,,r33,r33,r33,r33,r33,r33,r33,r33,r33,r33,r33,r33,r33,r33,r33,r33,r33,r33,r33,r33,,,,,,,,,,,,,,,,,
137,s11,,,r6,s44,s26,,s141,s81,,,,,,s13,s10,,,s27,,,,s29,s79,s9,,,s31,s28,s12,,,,s23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,r21,r21,r21,r21,,,,,,r21,,,r21,r21,r21,r21,,,,r21,,r21,,,,r21,,r21,,r21,,,r21,,r21,r21,r21,r21,r21,r21,r21,r21,r21,r21,r21,r21,r21,r21,r21,r21,r21,r21,r21,r21,,,,,,,,,,,,,,,,,
139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s142,,,,,,,,,,,,,,,,
140,r22,r22,r22,r22,,,,,,r22,,,r22,r22,r22,r22,,,,r22,,r22,,,,r22,,r22,,r22,,,r22,,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,r22,,,,,,,,,,,,,,,,,
141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s143,,,,,,,,,,,,,,,,
142,r74,r74,r74,r74,,,,,,r74,,,r74,r74,r74,r74,,,,r74,,r74,,,,r74,,r74,,r74,,,r74,,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,s144,,,,,,,,,,,,,,
143,r74,r74,r74,r74,,,,,,r74,,,r74,r74,r74,r74,,,,r74,,r74,,,,r74,,r74,,r74,,,r74,,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,s145,,,,,,,,,,,,,,
144,s11,,,r6,s2,s26,s7,s24,s25,s17,s5,s6,s15,s30,s13,s10,s8,s3,s27,s16,,s19,s29,s22,s9,s18,s21,s31,s28,s12,,s110,s32,s23,,,,,,,,,,,,,,,,,,,,,,s112,,,,,,,,,,,s146,,,,
145,s11,,,r6,s2,s26,s7,s24,s25,s17,s5,s6,s15,s30,s13,s10,s8,s3,s27,s16,,s19,s29,s22,s9,s18,s21,s31,s28,s12,,s110,s32,s23,,,,,,,,,,,,,,,,,,,,,,s112,,,,,,,,,,,s147,,,,
146,r30,r30,r30,r30,,,,,,r30,,,r30,r30,r30,r30,,,,r30,,r30,,,,r30,,r30,,r30,,,r30,,r30,r30,r30,r30,r30,r30,r30,r30,r30,r30,r30,r30,r30,r30,r30,r30,r30,r30,r30,r30,,,,,,,,,,,,,,,,,
147,r75,r75,r75,r75,,,,,,r75,,,r75,r75,r75,r75,,,,r75,,r75,,,,r75,,r75,,r75,,,r75,,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,,,,,,,,,,,,,,,s148,
148,r74,r74,r74,r74,,,,,,r74,,,r74,r74,r74,r74,,,,r74,,r74,,,,r74,,r74,,r74,,,r74,,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,s149,,,,,,,,,,,,,,
149,r34,r34,r34,r34,,,,,,r34,,,r34,r34,r34,r34,,,,r34,,r34,,,,r34,,r34,,r34,,,r34,,r34,r34,r34,r34,r34,r34,r34,r34,r34,r34,s132,s131,r34,r34,r34,r34,r34,r34,r34,r34,,,,,,,,,,,,,,,,,s150
150,r32,r32,r32,r32,,,,,,r32,,,r32,r32,r32,r32,,,,r32,,r32,,,,r32,,r32,,r32,,,r32,,r32,r32,r32,r32,r32,r32,r32,r32,r32,r32,r32,r32,r32,r32,r32,r32,r32,r32,r32,r32,,,,,,,,,,,,,,,,,
